,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
370,Paras Hospital,2.4k,4.1,3.2k,99,69,126
371,ICICI Securities,2.4k,3.9,9.7k,196,2,184
372,Statestreet HCL Services,2.4k,3.4,13.6k,219,--,201
373,Emcure Pharmaceuticals,2.4k,3.6,8.4k,125,67,233
374,Biocon Limited,2.4k,4.1,11.7k,186,11,2
375,Hero FinCorp,2.4k,3.9,5.7k,120,47,129
376,Mahindra Rural Housing Finance,2.4k,4.0,4.7k,104,11,180
377,Intellect Design Arena,2.4k,3.6,13.5k,182,16,118
378,Mahindra Holidays & Resorts,2.4k,3.5,5.8k,127,46,202
379,Datamatics Global Services,2.4k,3.3,11.8k,180,74,183
380,Adani Group,2.4k,3.8,11k,288,920,101
381,CorroHealth Infotech,2.4k,3.6,7.4k,279,52,9
382,Taj Hotels Resorts and Palaces,2.4k,4.2,4.8k,158,266,178
383,Axis Direct,2.4k,3.6,4.7k,87,46,226
384,Cadila Pharmaceuticals,2.4k,3.3,7.9k,157,153,167
385,3i Infotech,2.4k,3.4,10.6k,164,72,149
386,Aditya Birla Group,2.4k,4.1,9.9k,242,6,248
387,Cholamandalam MS General Insurance,2.3k,3.7,6k,115,--,166
388,Capgemini Engineering,2.3k,3.4,14.3k,397,--,139
389,Syngene International,2.3k,3.8,12.6k,191,--,216
390,Info Edge,2.3k,3.9,11.3k,380,401,298
391,KocharTech,2.3k,3.6,3.8k,80,42,582
392,Bureau Veritas,2.3k,3.8,8.1k,143,18,176
393,Delhi Public School,2.3k,3.8,5.3k,156,165,258
394,Aavas Financiers,2.3k,4.0,5.4k,121,54,138
395,Cybage,2.3k,3.8,17.2k,213,32,268
396,RMSI,2.3k,3.6,8.5k,194,19,184
397,TaskUs,2.3k,3.1,9.3k,222,284,118
398,Xoriant,2.3k,4.1,11.6k,233,45,413
399,Lifestyle,2.3k,4.2,6.8k,83,20,278
400,Akums Drugs & Pharmaceuticals Limited,2.3k,4.2,6.2k,329,16,147
401,Straive,2.3k,3.3,10.3k,221,93,122
402,Sopra Steria,2.3k,3.9,14k,184,246,240
403,Kia India,2.3k,4.0,8.2k,178,84,166
404,GVK Emergency Management and Research Institute,2.3k,3.6,4.7k,117,72,176
405,Eureka Forbes,2.3k,3.7,5.6k,91,9,227
406,Sobha,2.3k,3.8,8.3k,165,58,220
407,Apollo Pharmacy,2.3k,3.6,6.8k,185,1.1k,128
408,Unacademy,2.2k,2.9,10.3k,239,41,153
409,Lodha,2.2k,4.1,8.7k,171,177,173
410,Radisson Hotels,2.2k,4.0,5.1k,103,21,312
411,Myntra,2.2k,3.9,10.4k,335,30,305
412,Endurance Technologies Limited,2.2k,3.9,7.8k,135,15,230
413,Team Computers,2.2k,3.6,8.4k,200,167,115
414,SBI Securities,2.2k,3.6,6.9k,183,39,105
415,TCE,2.2k,3.8,9.4k,293,19,165
416,Panasonic Life Solutions India,2.2k,3.9,6.8k,96,24,105
417,Lava International,2.2k,3.9,4.4k,87,1,302
418,AWL Agri Business,2.2k,4.0,6.8k,133,91,171
419,Star Union Dai-ichi Life Insurance,2.2k,3.8,5.3k,135,36,95
420,GAO Tek,2.2k,4.5,259,541,--,26
421,Daikin Airconditioning India Pvt. Ltd.,2.2k,4.2,7.7k,205,--,144
422,Whirlpool,2.2k,4.0,8k,118,13,202
423,Newgen Software Technologies,2.2k,4.0,11.5k,202,59,147
424,Indian Railways,2.2k,4.2,3.4k,113,1,159
425,Bharti AXA Life Insurance,2.2k,3.6,5.1k,148,44,170
426,Cisco,2.2k,4.1,18.6k,412,111,223
427,SBI General Insurance,2.2k,3.6,6.3k,128,48,132
428,GlaxoSmithKline Pharmaceuticals,2.2k,4.0,5.7k,125,40,112
429,BNP Paribas,2.2k,3.7,18.1k,213,17,174
430,Coromandel International,2.2k,4.1,7.6k,126,20,218
431,Renault Nissan Technology & Business Centre India,2.2k,3.7,14.4k,153,23,210
432,Nokia Networks,2.2k,4.1,10.4k,126,--,10
433,Meesho,2.2k,3.7,9.5k,425,133,297
434,Shahi Exports,2.1k,3.9,6.9k,125,37,228
435,Sify Technologies,2.1k,3.7,9.8k,148,66,152
436,ValueLabs,2.1k,3.5,16k,215,69,266
437,Allstate,2.1k,3.6,12.2k,155,16,186
438,Ambuja Cements,2.1k,3.8,6.1k,162,--,211
439,Microsoft Corporation,2.1k,3.8,29.3k,618,--,196
440,Bank of Baroda,2.1k,3.5,7.1k,118,--,150
441,Life Insurance Corporation of India,2.1k,4.4,4.6k,97,1,242
442,Brakes India,2.1k,3.9,7.2k,104,6,212
443,Huawei Technologies,2.1k,4.0,7.9k,119,34,288
444,Cargill,2.1k,3.9,8.4k,111,427,148
445,BHEL,2.1k,4.2,5.2k,135,--,231
446,Spark Minda,2.1k,3.8,7.2k,159,8,36
447,Simplex Infrastructures,2.1k,3.4,4.5k,83,--,286
